['W', 'Rutgers', 'Princeton']
['W', 'Princeton', 'Rutgers']
['W', 'Rutgers', 'Columbia']
['W', 'Princeton', 'Rutgers']
['T', 'Columbia', 'Rutgers']
['W', 'Rutgers', 'Columbia']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Columbia']
['W', 'Columbia', 'Stevens']
['W', 'Columbia', 'Stevens']
['W', 'Yale', 'Rutgers']
['W', 'Rutgers', 'Columbia']
['W', 'Columbia', 'Rutgers']
['W', 'Princeton', 'Yale']
['W', 'Rutgers', 'Columbia']
['W', 'Stevens', 'Columbia']
['W', 'Stevens', 'Rutgers']
['W', 'Princeton', 'Columbia']
['W', 'Columbia', 'Rutgers']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Stevens']
['W', 'Yale', 'Columbia']
['W', 'Yale', 'Columbia']
['W', 'Rutgers', 'Stevens']
['T', 'Rutgers', 'Columbia']
['W', 'Columbia', 'Stevens']
['W', 'Yale', 'Rutgers']
['W', 'Harvard', 'Yale']
['W', 'Princeton', 'Columbia']
['W', 'Princeton', 'Stevens']
['W', 'Columbia', 'Yale']
['W', 'Princeton', 'Pennsylvania']
['W', 'Rutgers', 'Stevens']
['W', 'Stevens', 'Columbia']
['W', 'Princeton', 'Columbia']
['W', 'Columbia', 'Stevens']
['W', 'Yale', 'Harvard']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Princeton']
['W', 'Yale', 'Columbia']
['W', 'Harvard', 'Princeton']
['W', 'Harvard', 'Columbia']
['W', 'Stevens', 'Rutgers']
['W', 'Yale', 'Tufts']
['W', 'Columbia', 'Rutgers']
['W', 'Columbia', 'Stevens']
['W', 'Rutgers', 'Stevens']
['W', 'Amherst', 'Tufts']
['W', 'Princeton', 'Harvard']
['W', 'Harvard', 'Tufts']
['W', 'Princeton', 'Columbia']
['W', 'Yale', 'Stevens']
['T', 'Princeton', 'Yale']
['W', 'Princeton', 'Pennsylvania']
['W', 'Amherst', 'Brown']
['W', 'Princeton', 'Stevens']
['T', 'Rutgers', 'Stevens']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Amherst']
['T', 'Columbia', 'Stevens']
['W', 'Harvard', 'Amherst']
['W', 'Princeton', 'Pennsylvania']
['W', 'Stevens', 'Rutgers']
['T', 'Pennsylvania', 'Columbia']
['W', 'Princeton', 'Harvard']
['W', 'Yale', 'Amherst']
['W', 'Yale', 'Harvard']
['W', 'Princeton', 'Yale']
['W', 'Princeton', 'Pennsylvania']
['T', 'Stevens', 'Columbia']
['W', 'Princeton', 'Columbia']
['W', 'Yale', 'Pennsylvania']
['T', 'Yale', 'Harvard']
['W', 'Pennsylvania', 'Columbia']
['W', 'Princeton', 'Stevens']
['W', 'Rutgers', 'Stevens']
['W', 'Princeton', 'Harvard']
['W', 'Yale', 'Rutgers']
['T', 'Columbia', 'Rutgers']
['W', 'Yale', 'Columbia']
['T', 'Rutgers', 'Stevens']
['W', 'Stevens', 'Rutgers']
['T', 'Princeton', 'Yale']
['T', 'Stevens', 'Rutgers']
['W', 'Rutgers', 'Stevens']
['W', 'Rutgers', 'Stevens']
['W', 'Princeton', 'Stevens']
['W', 'Princeton', 'Pennsylvania']
['W', 'Princeton', 'Rutgers']
['W', 'Harvard', 'Columbia']
['W', 'Pennsylvania', 'Stevens']
['W', 'Yale', 'Columbia']
['W', 'Columbia', 'Rutgers']
['W', 'Pennsylvania', 'Stevens']
['W', 'Princeton', 'Harvard']
['W', 'Yale', 'Brown']
['W', 'Yale', 'Pennsylvania']
['W', 'Yale', 'Harvard']
['T', 'Princeton', 'Yale']
['W', 'Princeton', 'Rutgers']
['W', 'Princeton', 'Stevens']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Amherst']
['W', 'Columbia', 'Stevens']
['W', 'Harvard', 'Michigan']
['W', 'Harvard', 'Pennsylvania']
['W', 'Yale', 'Michigan']
['W', 'Stevens', 'Rutgers']
['W', 'Princeton', 'Michigan']
['W', 'Harvard', 'Columbia']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Amherst']
['T', 'Rutgers', 'Columbia']
['W', 'Princeton', 'Rutgers']
['W', 'Dartmouth', 'Amherst']
['W', 'Princeton', 'Columbia']
['W', 'Yale', 'Harvard']
['W', 'Yale', 'Columbia']
['T', 'Amherst', 'Dartmouth']
['T', 'Harvard', 'Princeton']
['W', 'Rutgers', 'Pennsylvania']
['W', 'Columbia', 'Rutgers']
['T', 'Princeton', 'Yale']
['W', 'Columbia', 'Pennsylvania']
['W', 'Harvard', 'MIT']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Amherst', 'Massachusetts']
['W', 'Harvard', 'MIT']
['W', 'Princeton', 'Rutgers']
['W', 'Wesleyan (CT)', 'Massachusetts']
['W', 'Yale', 'Rutgers']
['W', 'Harvard', 'Amherst']
['W', 'Princeton', 'Pennsylvania']
['W', 'Wesleyan (CT)', 'Massachusetts']
['W', 'Yale', 'Rutgers']
['W', 'Harvard', 'Dartmouth']
['W', 'Rutgers', 'Pennsylvania']
['W', 'Wesleyan (CT)', 'Amherst']
['W', 'Yale', 'MIT']
['W', 'Princeton', 'Columbia']
['W', 'Rutgers', 'Lafayette']
['W', 'Yale', 'Amherst']
['W', 'Rutgers', 'Columbia']
['W', 'Harvard', 'Columbia']
['W', 'Princeton', 'Pennsylvania']
['W', 'Princeton', 'Rutgers']
['W', 'Harvard', 'Princeton']
['W', 'Rutgers', 'Pennsylvania']
['W', 'Yale', 'Columbia']
['W', 'Rutgers', 'Stevens']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Princeton', 'Columbia']
['W', 'Yale', 'Harvard']
['W', 'Yale', 'Princeton']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Yale', 'Stevens']
['W', 'Harvard', 'Pennsylvania']
['W', 'Princeton', 'Rutgers']
['W', 'Harvard', 'Stevens']
['W', 'Wesleyan (CT)', 'Rutgers']
['W', 'Princeton', 'Lafayette']
['W', 'Princeton', 'Stevens']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Princeton', 'Rutgers']
['W', 'Stevens', 'Columbia']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Princeton', 'Pennsylvania']
['W', 'Stevens', 'Lafayette']
['W', 'Harvard', 'Stevens']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Yale', 'Rutgers']
['W', 'Lafayette', 'Rutgers']
['W', 'Pennsylvania', 'Columbia']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Princeton', 'Harvard']
['W', 'Yale', 'Columbia']
['W', 'Wesleyan (CT)', 'Michigan']
['W', 'Yale', 'Michigan']
['W', 'Harvard', 'Michigan']
['W', 'Stevens', 'Lafayette']
['W', 'Yale', 'Princeton']
['W', 'Stevens', 'Michigan']
['T', 'Pennsylvania', 'Stevens']
['W', 'Yale', 'Harvard']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Princeton', 'Stevens']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Stevens']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Pennsylvania', 'Harvard']
['W', 'Yale', 'Rutgers']
['W', 'Lafayette', 'Lehigh']
['W', 'Princeton', 'Pennsylvania']
['W', 'Princeton', 'Lafayette']
['W', 'Wesleyan (CT)', 'Stevens']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Princeton', 'Stevens']
['W', 'Rutgers', 'Lehigh']
['W', 'Wesleyan (CT)', 'Harvard']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Pennsylvania', 'Stevens']
['W', 'Rutgers', 'Lafayette']
['W', 'Lafayette', 'Lehigh']
['W', 'Stevens', 'Lafayette']
['W', 'Wesleyan (CT)', 'Rutgers']
['W', 'Princeton', 'Harvard']
['W', 'Yale', 'Harvard']
['W', 'Pennsylvania', 'Wesleyan (CT)']
['W', 'Stevens', 'Lafayette']
['T', 'Princeton', 'Yale']
['W', 'Princeton', 'Stevens']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Yale', 'Stevens']
['W', 'Princeton', 'Stevens']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Lafayette', 'Stevens']
['W', 'Princeton', 'Pennsylvania']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Yale', 'Wesleyan (CT)']
['T', 'Lehigh', 'Lafayette']
['W', 'Princeton', 'Pennsylvania']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Stevens', 'Lehigh']
['W', 'Wesleyan (CT)', 'Pennsylvania']
['W', 'Lafayette', 'Stevens']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Yale', 'Pennsylvania']
