Most reigns as Heavyweight Champ!
Team                   Reigns     Wins
USC                      18       120     
Notre Dame               12       30      
Washington               12       48      
Alabama                  11       62      
Harvard                  10       62      
Ohio State               10       73      
UCLA                     10       28      
Princeton                9        86      
Michigan                 9        24      
Auburn                   8        20      
Yale                     7        101     
Navy                     6        20      
Syracuse                 6        25      
Clemson                  6        18      
LSU                      6        13      
Baylor                   6        21      
Oklahoma                 6        52      
Stanford                 6        24      
Penn State               5        15      
Georgia                  5        17      
Florida                  5        24      
Arizona                  5        13      
Pennsylvania             4        39      
Army                     4        41      
Purdue                   4        5       
Iowa                     4        15      
Tennessee                4        24      
Texas                    4        17      
Georgia Tech             4        11      
South Carolina           4        7       
Texas A&M                4        14      
TCU                      4        17      
Pitt                     4        7       
Arkansas                 4        21      
Arizona State            4        10      
Miami                    4        39      
Wisconsin                3        7       
Nebraska                 3        19      
Oklahoma State           3        5       
California               3        12      
Oregon State             3        3       
BYU                      3        10      
Texas Tech               3        6       
Columbia                 2        9       
Brown                    2        2       
Cornell                  2        8       
Swarthmore               2        4       
Illinois                 2        7       
Colorado                 2        3       
Ole Miss                 2        6       
NC State                 2        3       
Colorado State           2        3       
Mississippi State        2        2       
West Virginia            2        7       
Carnegie Mellon          2        2       
Rice                     2        2       
Washington State         2        6       
Michigan State           2        5       
Duke                     2        8       
Florida State            2        24      
Air Force                2        2       
Rutgers                  1        1       
Lafayette                1        7       
Virginia                 1        3       
Minnesota                1        1       
Chicago                  1        4       
Northwestern             1        8       
Carlisle                 1        7       
Missouri                 1        5       
Virginia Tech            1        3       
Tulane                   1        2       
Utah                     1        2       
Colgate                  1        3       
Wyoming                  1        2       
Kansas State             1        3       
Kentucky                 1        1       
Oregon                   1        7       
Maryland                 1        1       
Tulsa                    1        3       
New York University      1        1       
Temple                   1        1       
New Mexico               1        1       
Southern Miss            1        1       
