Most wins in Heavyweight Bouts!
Team                    Wins    Reigns
USC                      120      18  
Yale                     101      7   
Princeton                86       9   
Ohio State               73       10  
Harvard                  62       10  
Alabama                  62       11  
Oklahoma                 52       6   
Washington               48       12  
Army                     41       4   
Pennsylvania             39       4   
Miami                    39       4   
Notre Dame               30       12  
UCLA                     28       10  
Syracuse                 25       6   
Michigan                 24       9   
Tennessee                24       4   
Florida                  24       5   
Stanford                 24       6   
Florida State            24       2   
Baylor                   21       6   
Arkansas                 21       4   
Navy                     20       6   
Auburn                   20       8   
Nebraska                 19       3   
Clemson                  18       6   
Texas                    17       4   
Georgia                  17       5   
TCU                      17       4   
Penn State               15       5   
Iowa                     15       4   
Texas A&M                14       4   
LSU                      13       6   
Arizona                  13       5   
California               12       3   
Georgia Tech             11       4   
BYU                      10       3   
Arizona State            10       4   
Columbia                 9        2   
Cornell                  8        2   
Northwestern             8        1   
Duke                     8        2   
Lafayette                7        1   
Illinois                 7        2   
Wisconsin                7        3   
Carlisle                 7        1   
South Carolina           7        4   
Pitt                     7        4   
West Virginia            7        2   
Oregon                   7        1   
Ole Miss                 6        2   
Washington State         6        2   
Texas Tech               6        3   
Purdue                   5        4   
Missouri                 5        1   
Oklahoma State           5        3   
Michigan State           5        2   
Swarthmore               4        2   
Chicago                  4        1   
Virginia                 3        1   
Colorado                 3        2   
Virginia Tech            3        1   
NC State                 3        2   
Colorado State           3        2   
Colgate                  3        1   
Kansas State             3        1   
Oregon State             3        3   
Tulsa                    3        1   
Brown                    2        2   
Tulane                   2        1   
Mississippi State        2        2   
Utah                     2        1   
Wyoming                  2        1   
Carnegie Mellon          2        2   
Rice                     2        2   
Air Force                2        2   
Rutgers                  1        1   
Minnesota                1        1   
Kentucky                 1        1   
Maryland                 1        1   
New York University      1        1   
Temple                   1        1   
New Mexico               1        1   
Southern Miss            1        1   
