Team                     Titles    Years
Princeton                18        1869, 1870, 1872, 1873, 1874, 1875, 1878, 1879, 1880, 1881, 1885, 1886, 1889, 1893, 1903, 1911, 1922, 1951
Yale                     13        1876, 1877, 1882, 1883, 1884, 1887, 1888, 1890, 1891, 1892, 1900, 1902, 1909
USC                      12        1924, 1931, 1932, 1939, 1962, 1969, 1972, 1976, 1978, 1979, 2003, 2004
Harvard                  8         1898, 1899, 1901, 1908, 1910, 1912, 1913, 1914
Alabama                  8         1925, 1926, 1941, 1952, 1977, 1985, 2009, 2020
Oklahoma                 6         1953, 1954, 1955, 1956, 1967, 2013
Army                     5         1927, 1945, 1946, 1948, 1949
Ohio State               5         1958, 1968, 1981, 2002, 2018
Pennsylvania             4         1894, 1895, 1897, 1905
Auburn                   4         1937, 1942, 1983, 2010
Syracuse                 3         1917, 1923, 1959
Michigan                 3         1918, 1980, 2023
Notre Dame               3         1930, 1936, 1973
Texas                    3         1963, 1998, 2005
UCLA                     3         1975, 1984, 1992
Navy                     2         1906, 1950
Illinois                 2         1919, 1989
Stanford                 2         1929, 1940
Columbia                 2         1933, 1947
Pitt                     2         1934, 2017
Tennessee                2         1938, 1974
Iowa                     2         1957, 1961
Penn State               2         1960, 1986
LSU                      2         1965, 2019
Nebraska                 2         1971, 1997
Clemson                  2         1987, 2016
Florida State            2         1988, 1999
Arizona                  2         1993, 1995
Miami                    2         2000, 2001
Florida                  2         2006, 2008
Baylor                   2         2012, 2021
TCU                      2         2014, 2015
Lafayette                1         1896
Swarthmore               1         1904
Carlisle                 1         1907
Cornell                  1         1915
Colgate                  1         1916
Wisconsin                1         1920
Chicago                  1         1921
Oregon State             1         1928
Northwestern             1         1935
Duke                     1         1944
Arkansas                 1         1964
Georgia                  1         1966
Tulane                   1         1970
Washington State         1         1982
Colorado                 1         1990
Texas Tech               1         1991
Wyoming                  1         1994
BYU                      1         1996
Missouri                 1         2007
West Virginia            1         2011
Washington               1         2022
