0,Clemson,ACC
1,Maryland,ACC
2,North Carolina,ACC
3,Duke,ACC
4,NC State,ACC
5,Virginia,ACC
6,Wake Forest,ACC
7,Nebraska,Big 8
8,Oklahoma,Big 8
9,Oklahoma State,Big 8
10,Kansas State,Big 8
11,Missouri,Big 8
12,Iowa State,Big 8
13,Kansas,Big 8
14,Colorado,Big 8
15,Michigan,Big Ten
16,Ohio State,Big Ten
17,Iowa,Big Ten
18,Illinois,Big Ten
19,Wisconsin,Big Ten
20,Indiana,Big Ten
21,Purdue,Big Ten
22,Northwestern,Big Ten
23,Michigan State,Big Ten
24,Minnesota,Big Ten
25,Penn State,Ind
26,Florida State,Ind
27,Pitt,Ind
28,West Virginia,Ind
29,Boston College,Ind
30,Louisiana,Ind
31,East Carolina,Ind
32,Miami,Ind
33,Southern Miss,Ind
34,Virginia Tech,Ind
35,Notre Dame,Ind
36,Cincinnati,Ind
37,Georgia Tech,Ind
38,Navy,Ind
39,Louisville,Ind
40,Rutgers,Ind
41,Army,Ind
42,South Carolina,Ind
43,Temple,Ind
44,Tulane,Ind
45,William & Mary,Ind
46,North Texas,Ind
47,Syracuse,Ind
48,Memphis,Ind
49,Richmond,Ind
50,Bowling Green,MAC
51,Western Michigan,MAC
52,Miami (OH),MAC
53,Central Michigan,MAC
54,Ohio,MAC
55,Toledo,MAC
56,Northern Illinois,MAC
57,Ball State,MAC
58,Eastern Michigan,MAC
59,Kent State,MAC
60,Tulsa,MVC
61,Wichita State,MVC
62,Southern Illinois,MVC
63,Indiana State,MVC
64,Drake,MVC
65,New Mexico State,MVC
66,West Texas State,MVC
67,Illinois State,MVC
68,UCLA,Pac-10
69,Washington,Pac-10
70,Arizona State,Pac-10
71,USC,Pac-10
72,Arizona,Pac-10
73,California,Pac-10
74,Stanford,Pac-10
75,Washington State,Pac-10
76,Oregon,Pac-10
77,Oregon State,Pac-10
78,Fresno State,PCAA
79,Long Beach State,PCAA
80,San Jose State,PCAA
81,Utah State,PCAA
82,Pacific,PCAA
83,UNLV,PCAA
84,Cal State Fullerton,PCAA
85,Georgia,SEC
86,LSU,SEC
87,Auburn,SEC
88,Vanderbilt,SEC
89,Tennessee,SEC
90,Alabama,SEC
91,Florida,SEC
92,Mississippi State,SEC
93,Ole Miss,SEC
94,Kentucky,SEC
95,SMU,SWC
96,Texas,SWC
97,Arkansas,SWC
98,Houston,SWC
99,Baylor,SWC
100,Texas A&M,SWC
101,Texas Tech,SWC
102,TCU,SWC
103,Rice,SWC
104,BYU,WAC
105,New Mexico,WAC
106,Air Force,WAC
107,San Diego State,WAC
108,Hawaii,WAC
109,Colorado State,WAC
110,Utah,WAC
111,Wyoming,WAC
112,UTEP,WAC
