SEA,Seattle,Mariners,AL,WEST
HOU,Houston,Astros,AL,WEST
ATH,Sacramento,Athletics,AL,WEST
LAA,Los Angeles,Angels,AL,WEST
TEX,Texas,Rangers,AL,WEST
CHW,Chicago,White Sox,AL,CENTRAL
CLE,Cleveland,Guardians,AL,CENTRAL
DET,Detroit,Tigers,AL,CENTRAL
KCR,Kansas City,Royals,AL,CENTRAL
MIN,Minnesota,Twins,AL,CENTRAL
BAL,Baltimore,Orioles,AL,EAST
BOS,Boston,Red Sox,AL,EAST
NYY,New York,Yankees,AL,EAST
TBR,Tampa Bay,Rays,AL,EAST
TOR,Toronto,Blue Jays,AL,EAST
ARI,Arizona,Diamondbacks,NL,WEST
COL,Colorado,Rockies,NL,WEST
LAD,Los Angeles,Dodgers,NL,WEST
SDP,San Diego,Padres,NL,WEST
SFG,San Francisco,Giants,NL,WEST
CHC,Chicago,Cubs,NL,CENTRAL
CIN,Cincinnati,Reds,NL,CENTRAL
MIL,Milwaukee,Brewers,NL,CENTRAL
PIT,Pittsburgh,Pirates,NL,CENTRAL
STL,St. Louis,Cardinals,NL,CENTRAL
ATL,Atlanta,Braves,NL,EAST
MIA,Miami,Marlins,NL,EAST
NYM,New York,Mets,NL,EAST
PHI,Philadelphia,Phillies,NL,EAST
WSN,Washington,Nationals,NL,EAST
