Day,Away,Home,RA,RH,Inn
4,91,SFG,SEA,7,8,10
4,91,HOU,OAK,8,1,9
4,91,CHW,LAA,3,4,9
4,91,TEX,KCR,10,14,9
4,91,CLE,DET,2,3,9
4,91,MIN,MIL,5,6,10
4,91,TOR,NYY,3,2,10
4,91,TBR,MIA,1,0,9
4,91,ARI,SDP,7,8,9
4,91,LAD,COL,5,8,9
4,91,PIT,CHC,5,3,9
4,91,STL,CIN,11,6,9
4,91,ATL,PHI,2,3,10
5,92,SFG,SEA,6,3,9
5,92,HOU,OAK,9,5,9
5,92,CHW,LAA,12,8,9
5,92,BAL,BOS,3,0,9
5,92,TBR,MIA,6,4,9
5,92,ARI,SDP,2,4,9
5,92,LAD,COL,11,6,9
6,93,SFG,SEA,0,4,9
6,93,HOU,OAK,9,1,9
6,93,CHW,LAA,3,5,9
6,93,TEX,KCR,4,11,9
6,93,CLE,DET,2,5,9
6,93,MIN,MIL,2,0,9
6,93,BAL,BOS,4,2,9
6,93,TOR,NYY,3,5,9
6,93,TBR,MIA,7,12,9
6,93,ARI,SDP,0,7,9
6,93,LAD,COL,6,5,9
6,93,PIT,CHC,1,5,9
6,93,STL,CIN,6,9,9
6,93,ATL,PHI,0,4,9
0,94,HOU,OAK,9,2,9
0,94,CHW,LAA,4,7,9
0,94,TEX,KCR,7,3,9
0,94,CLE,DET,9,3,9
0,94,MIN,MIL,8,2,9
0,94,BAL,BOS,11,3,9
0,94,TOR,NYY,3,1,9
0,94,ARI,SDP,3,1,9
0,94,LAD,COL,4,2,9
0,94,PIT,CHC,3,4,9
0,94,STL,CIN,1,12,9
0,94,ATL,PHI,1,2,9
1,95,CHW,SEA,6,0,9
1,95,HOU,LAA,6,7,9
1,95,LAD,OAK,10,3,9
1,95,TOR,TEX,6,2,9
1,95,KCR,CLE,3,0,9
1,95,MIN,DET,15,6,9
1,95,BAL,NYY,0,7,9
1,95,TBR,BOS,2,11,9
1,95,SFG,SDP,3,2,9
1,95,MIL,CHC,3,5,9
1,95,PIT,CIN,3,5,9
1,95,STL,MIA,4,1,9
1,95,NYM,PHI,3,5,9
2,96,CHW,SEA,10,4,9
2,96,HOU,LAA,4,2,9
2,96,LAD,OAK,5,1,9
2,96,TOR,TEX,4,7,9
2,96,MIN,DET,3,4,10
2,96,BAL,NYY,2,7,9
2,96,TBR,BOS,5,6,12
2,96,ARI,COL,10,8,13
2,96,SFG,SDP,1,3,9
2,96,MIL,CHC,4,0,9
2,96,PIT,CIN,1,14,9
2,96,STL,MIA,4,2,9
2,96,ATL,WSN,5,6,9
2,96,NYM,PHI,8,4,9
3,97,CHW,SEA,4,8,9
3,97,LAD,OAK,3,4,10
3,97,TOR,TEX,1,2,9
3,97,KCR,CLE,2,4,9
3,97,MIN,DET,3,2,9
3,97,BAL,NYY,4,3,11
3,97,TBR,BOS,2,9,9
