WkDay,Day,Away,Home,RA,RH,Inn
2,77,LAD,CHC,4,1,9
3,78,LAD,CHC,6,3,9
4,86,ATH,SEA,2,4,9
4,86,NYM,HOU,1,3,9
4,86,LAA,CHW,1,8,9
4,86,BOS,TEX,5,2,9
4,86,CLE,KCR,7,4,10
4,86,DET,LAD,4,5,9
4,86,MIN,STL,3,5,9
4,86,BAL,TOR,12,2,9
4,86,MIL,NYY,2,4,9
4,86,CHC,ARI,10,6,9
4,86,ATL,SDP,4,7,9
4,86,SFG,CIN,6,4,9
4,86,PIT,MIA,4,5,9
4,86,PHI,WSN,7,3,10
5,87,ATH,SEA,7,0,9
5,87,NYM,HOU,3,1,9
5,87,BOS,TEX,1,4,9
5,87,DET,LAD,5,8,10
5,87,BAL,TOR,2,8,9
5,87,COL,TBR,2,3,9
5,87,CHC,ARI,1,8,9
5,87,ATL,SDP,3,4,9
5,87,PIT,MIA,4,3,9
6,88,ATH,SEA,4,2,9
6,88,NYM,HOU,1,2,9
6,88,LAA,CHW,1,0,9
6,88,BOS,TEX,3,4,9
6,88,CLE,KCR,3,4,9
6,88,DET,LAD,3,7,9
6,88,MIN,STL,1,5,9
6,88,BAL,TOR,9,5,9
6,88,MIL,NYY,9,20,9
6,88,COL,TBR,2,1,9
6,88,CHC,ARI,4,3,9
6,88,ATL,SDP,0,1,9
6,88,SFG,CIN,2,3,9
6,88,PIT,MIA,4,5,12
6,88,PHI,WSN,11,6,9
0,89,ATH,SEA,1,2,9
0,89,LAA,CHW,3,2,9
0,89,BOS,TEX,2,3,9
0,89,CLE,KCR,6,2,9
0,89,MIN,STL,2,9,9
0,89,BAL,TOR,1,3,9
0,89,MIL,NYY,3,12,9
0,89,COL,TBR,4,6,9
0,89,CHC,ARI,6,10,9
0,89,ATL,SDP,0,5,9
0,89,SFG,CIN,6,3,9
0,89,PIT,MIA,2,3,9
0,89,PHI,WSN,1,5,9
1,90,DET,SEA,9,6,9
1,90,SFG,HOU,7,2,9
1,90,CHC,ATH,18,3,9
1,90,LAA,STL,5,4,10
1,90,TEX,CIN,3,14,9
1,90,MIN,CHW,0,9,9
1,90,CLE,SDP,2,7,9
1,90,KCR,MIL,11,1,9
1,90,BOS,BAL,5,8,9
1,90,PIT,TBR,1,6,9
1,90,WSN,TOR,2,5,9
1,90,COL,PHI,1,6,9
1,90,ATL,LAD,1,6,9
1,90,NYM,MIA,10,4,9
2,91,DET,SEA,4,1,9
2,91,SFG,HOU,3,1,9
2,91,CHC,ATH,7,4,9
2,91,LAA,STL,9,7,11
2,91,TEX,CIN,1,0,9
2,91,MIN,CHW,8,3,9
2,91,CLE,SDP,0,7,9
2,91,KCR,MIL,0,5,9
2,91,ARI,NYY,7,5,9
2,91,PIT,TBR,0,7,9
2,91,WSN,TOR,3,5,9
2,91,ATL,LAD,1,3,9
2,91,NYM,MIA,2,4,9
3,92,DET,SEA,2,3,9
3,92,SFG,HOU,6,3,9
3,92,CHC,ATH,10,2,9
3,92,LAA,STL,5,12,9
3,92,TEX,CIN,1,0,9
3,92,MIN,CHW,6,1,9
3,92,CLE,SDP,2,5,9
3,92,KCR,MIL,2,3,11
3,92,BOS,BAL,3,0,9
3,92,ARI,NYY,4,3,9
3,92,PIT,TBR,4,2,9
3,92,WSN,TOR,2,4,9
3,92,COL,PHI,1,5,9
3,92,ATL,LAD,5,6,9
3,92,NYM,MIA,6,5,11
4,93,HOU,MIN,5,2,9
4,93,BOS,BAL,8,4,9
4,93,ARI,NYY,7,9,9
4,93,COL,PHI,1,3,9
4,93,CIN,MIL,0,1,9
5,94,SEA,SFG,9,10,11
5,94,ATH,COL,6,3,11
5,94,CLE,LAA,8,6,9
5,94,TBR,TEX,2,5,9
5,94,CHW,DET,4,7,9
5,94,BAL,KCR,2,8,9
5,94,STL,BOS,9,13,9
5,94,NYY,PIT,9,4,9
5,94,TOR,NYM,0,5,9
5,94,ARI,WSN,6,4,9
5,94,LAD,PHI,2,3,9
5,94,SDP,CHC,1,3,9
5,94,CIN,MIL,2,3,9
5,94,MIA,ATL,0,10,9
6,95,SEA,SFG,1,4,9
6,95,HOU,MIN,1,6,9
6,95,ATH,COL,7,4,9
6,95,CLE,LAA,4,10,9
6,95,TBR,TEX,4,6,9
6,95,CHW,DET,2,7,9
6,95,BAL,KCR,8,1,9
6,95,NYY,PIT,10,4,9
6,95,TOR,NYM,2,3,9
6,95,ARI,WSN,3,4,9
6,95,LAD,PHI,3,1,9
6,95,SDP,CHC,1,7,9
6,95,CIN,MIL,11,7,9
6,95,MIA,ATL,4,0,9
0,96,SEA,SFG,4,5,9
0,96,HOU,MIN,9,7,10
0,96,ATH,COL,5,12,9
0,96,CLE,LAA,2,6,9
0,96,TBR,TEX,3,4,9
0,96,CHW,DET,3,4,9
0,96,BAL,KCR,1,4,9
0,96,STL,BOS,4,5,10
0,96,STL,BOS,7,18,9
0,96,NYY,PIT,4,5,11
0,96,TOR,NYM,1,2,9
0,96,ARI,WSN,4,5,9
0,96,LAD,PHI,7,8,9
0,96,SDP,CHC,8,7,9
0,96,CIN,MIL,2,8,9
1,97,HOU,SEA,3,4,9
1,97,SDP,ATH,5,4,9
1,97,TEX,CHC,0,7,9
1,97,NYY,DET,2,6,9
1,97,MIN,KCR,2,4,9
1,97,BAL,ARI,5,1,9
1,97,TOR,BOS,6,2,9
1,97,LAD,WSN,4,6,9
1,97,CIN,SFG,2,0,9
1,97,STL,PIT,4,8,9
1,97,MIA,NYM,0,2,9
2,98,HOU,SEA,2,1,12
2,98,SDP,ATH,4,10,9
2,98,LAA,TBR,4,3,9
2,98,TEX,CHC,6,10,9
2,98,CHW,CLE,0,1,9
2,98,NYY,DET,0,5,9
2,98,MIN,KCR,1,2,9
2,98,BAL,ARI,3,4,9
2,98,TOR,BOS,6,1,9
2,98,MIL,COL,7,1,9
2,98,LAD,WSN,2,8,9
2,98,CIN,SFG,1,0,9
2,98,STL,PIT,5,3,9
2,98,PHI,ATL,5,7,9
2,98,MIA,NYM,5,10,9
3,99,HOU,SEA,6,7,9
3,99,SDP,ATH,2,1,9
3,99,LAA,TBR,4,5,9
3,99,TEX,CHC,6,2,9
3,99,CHW,CLE,2,3,9
3,99,NYY,DET,4,3,9
3,99,MIN,KCR,4,0,9
3,99,BAL,ARI,0,9,9
3,99,TOR,BOS,2,1,11
3,99,MIL,COL,17,2,9
3,99,LAD,WSN,6,5,9
3,99,CIN,SFG,6,8,10
3,99,STL,PIT,1,2,13
3,99,PHI,ATL,4,3,9
3,99,MIA,NYM,5,0,9
4,100,LAA,TBR,11,1,9
4,100,CHW,CLE,1,6,9
4,100,MIN,KCR,2,3,9
4,100,TOR,BOS,3,4,10
4,100,MIL,COL,2,7,9
4,100,PHI,ATL,2,4,11
5,101,TEX,SEA,3,5,9
5,101,LAA,HOU,3,14,9
5,101,NYM,ATH,7,6,9
5,101,BOS,CHW,1,11,9
5,101,KCR,CLE,0,7,9
5,101,DET,MIN,7,6,9
5,101,SFG,NYY,9,1,6
5,101,ATL,TBR,3,6,9
5,101,MIL,ARI,7,0,9
5,101,COL,SDP,0,8,9
5,101,CHC,LAD,0,3,9
5,101,PIT,CIN,3,5,9
5,101,PHI,STL,0,2,9
5,101,WSN,MIA,7,4,9
6,102,TEX,SEA,2,9,9
6,102,LAA,HOU,4,1,9
6,102,NYM,ATH,1,3,9
6,102,BOS,CHW,2,3,9
6,102,KCR,CLE,3,6,9
6,102,DET,MIN,4,0,9
6,102,TOR,BAL,4,5,9
6,102,SFG,NYY,4,8,9
6,102,ATL,TBR,5,4,9
6,102,MIL,ARI,4,5,9
6,102,COL,SDP,0,2,9
6,102,CHC,LAD,16,0,9
6,102,PIT,CIN,2,5,9
6,102,PHI,STL,4,1,9
6,102,WSN,MIA,6,7,9
0,103,TEX,SEA,1,3,9
0,103,LAA,HOU,3,7,9
0,103,NYM,ATH,8,0,9
0,103,BOS,CHW,3,1,9
0,103,KCR,CLE,4,2,9
0,103,DET,MIN,1,5,9
0,103,TOR,BAL,7,6,10
0,103,SFG,NYY,5,4,9
0,103,ATL,TBR,3,8,9
0,103,MIL,ARI,2,5,9
0,103,COL,SDP,0,6,9
0,103,CHC,LAD,4,2,9
0,103,PIT,CIN,0,4,9
0,103,PHI,STL,0,7,9
0,103,WSN,MIA,4,11,9
1,104,HOU,STL,3,8,9
1,104,DET,MIL,9,1,9
1,104,KCR,NYY,1,4,9
1,104,NYM,MIN,5,1,9
1,104,BOS,TBR,1,16,9
1,104,ATL,TOR,8,4,9
1,104,COL,LAD,3,5,9
1,104,CHC,SDP,4,10,9
1,104,SFG,PHI,10,4,9
1,104,WSN,PIT,3,10,9
2,105,SEA,CIN,4,8,9
2,105,HOU,STL,2,0,9
2,105,ATH,CHW,12,3,9
2,105,LAA,TEX,0,4,9
2,105,CLE,BAL,6,3,9
2,105,DET,MIL,0,5,9
2,105,KCR,NYY,2,4,9
2,105,NYM,MIN,3,6,9
2,105,BOS,TBR,7,4,9
2,105,ATL,TOR,3,6,9
2,105,ARI,MIA,10,4,9
2,105,COL,LAD,2,6,9
2,105,CHC,SDP,2,1,10
2,105,SFG,PHI,4,6,9
2,105,WSN,PIT,3,0,9
3,106,SEA,CIN,5,3,9
3,106,HOU,STL,1,4,9
3,106,ATH,CHW,3,1,9
3,106,LAA,TEX,1,3,9
3,106,CLE,BAL,1,9,9
3,106,DET,MIL,1,5,9
3,106,KCR,NYY,3,4,9
3,106,NYM,MIN,3,4,10
3,106,BOS,TBR,1,0,9
3,106,ATL,TOR,1,3,9
3,106,ARI,MIA,6,2,9
3,106,COL,LAD,7,8,9
3,106,CHC,SDP,2,4,9
3,106,SFG,PHI,11,4,9
3,106,WSN,PIT,1,6,9
4,107,SEA,CIN,11,7,10
4,107,ATH,CHW,8,0,9
4,107,LAA,TEX,3,5,9
4,107,CLE,BAL,2,6,9
4,107,KCR,DET,1,6,9
4,107,NYY,TBR,6,3,9
4,107,ARI,MIA,6,4,9
4,107,SFG,PHI,4,6,9
4,107,WSN,PIT,0,1,9
4,107,STL,NYM,1,4,9
5,108,SEA,TOR,1,3,9
5,108,SDP,HOU,4,6,9
5,108,ATH,MIL,3,5,9
5,108,SFG,LAA,0,2,9
5,108,LAD,TEX,3,0,9
5,108,CHW,BOS,3,10,9
5,108,CLE,PIT,10,7,9
5,108,KCR,DET,3,7,9
5,108,MIN,ATL,4,6,9
5,108,CIN,BAL,8,3,9
5,108,NYY,TBR,1,0,9
5,108,ARI,CHC,11,13,9
5,108,STL,NYM,4,5,9
5,108,MIA,PHI,2,7,9
6,109,SEA,TOR,8,4,12
6,109,SDP,HOU,2,3,9
6,109,ATH,MIL,3,1,9
6,109,SFG,LAA,3,2,9
6,109,LAD,TEX,3,4,9
6,109,CHW,BOS,3,4,10
6,109,CLE,PIT,3,0,9
6,109,KCR,DET,1,3,9
6,109,MIN,ATL,3,4,9
