Day,Date,Away,Home,RA,RH,Inn
3,84,NYY,SFG,7,0,9
4,85,CLE,SEA,6,4,9
4,85,LAA,HOU,3,0,9
4,85,TEX,PHI,3,5,9
4,85,CHW,MIL,2,14,9
4,85,DET,SDP,8,2,9
4,85,MIN,BAL,1,2,9
4,85,BOS,CIN,3,0,9
4,85,TBR,STL,7,9,9
4,85,ARI,LAD,2,8,9
4,85,WSN,CHC,10,4,9
4,85,PIT,NYM,7,11,9
5,86,CLE,SEA,1,5,9
5,86,LAA,HOU,6,2,9
5,86,ATH,TOR,2,3,9
5,86,DET,SDP,5,2,9
5,86,KCR,ATL,0,6,9
5,86,NYY,SFG,3,0,9
5,86,ARI,LAD,4,5,9
5,86,COL,MIA,1,2,9
6,87,CLE,SEA,6,5,10
6,87,LAA,HOU,9,11,9
6,87,ATH,TOR,7,8,11
6,87,TEX,PHI,5,4,10
6,87,CHW,MIL,1,6,9
6,87,DET,SDP,0,3,9
6,87,KCR,ATL,2,6,9
6,87,MIN,BAL,4,1,9
6,87,BOS,CIN,5,6,11
6,87,NYY,SFG,3,1,9
6,87,TBR,STL,5,6,10
6,87,ARI,LAD,2,3,9
6,87,COL,MIA,3,4,9
6,87,WSN,CHC,2,10,9
6,87,PIT,NYM,2,4,11
0,88,CLE,SEA,0,8,9
0,88,LAA,HOU,7,9,9
0,88,ATH,TOR,2,5,9
0,88,TEX,PHI,8,3,9
0,88,CHW,MIL,7,9,9
0,88,KCR,ATL,4,1,9
0,88,MIN,BAL,6,8,9
0,88,BOS,CIN,2,3,9
0,88,TBR,STL,11,7,9
0,88,COL,MIA,3,4,9
0,88,WSN,CHC,6,3,9
0,88,PIT,NYM,4,3,10
